entity;facility;own_facility;classification_fuel_rawmaterial;emissions_activites;detailed_desc;types_of_fuel;detailed_desc_fuel;date_collection;january;february;maret;april;may;june;july;augustus;september;october;november;december;fuel_usage;unit;fuel_consumption(Kg);energy_consumption(MJ);ghg_emissions(tCO2eq);kgCO2;kgCH4;kgN2O;updated_by;updated_date
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Forklift;Fuel;Mobile combustion fuels and vehicle;to transport heavy weight item from one location to another location using forklift;Biodiesel;Biosolar (B30);2024;0,12209;0,12209;0,123;0,12209;0,12209;0,12209;0,12209;0,12209;0,12209;0,20038;0,21292;0,15969;1,67271;㎥;1413,43995;38162,87865;2,711274081;2701,931808;0,114488636;0,022897727;;
PT. KAHOINDAH CITRAGARMENT;KAHOINDAH CITRAGARMENT;Kitchen;Fuel;Stationary combustion fuels and equipment - Gaseous Fuel;coocking food;Liquefied Petroleum Gas (LPG);LPG 12 KG;2024;24;0;24;0;24;12;24;0;24;12;12;12;168;kg;168;7946,4;0,50184933;501,41784;0,0079464;0,00079464;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Mess;Fuel;Stationary combustion;;Liquefied Petroleum Gas (LPG);LPG 12 KG;2024;61,38;73,84;73,84;73,38;73,84;73,38;73,38;73,38;73,84;73,84;73,84;73,84;871,78;kg;871,78;41235,194;2,604179812;2601,940741;0,041235194;0,004123519;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Generator;Fuel;Stationary combustion;;Gas / Diesel oil;SOLAR/DIESEL OIL;2024;0,244;0,106;0,85;0,25;0,1;0,105;0,125;0,15;0,125;0,85;0,375;0,1;3,38;㎥;2852,72;122666,96;9,119650608;9089,621736;0,36800088;0,073600176;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Boiler;Fuel;Stationary combustion;;Industrial Wastes;FABRIC WASTE FROM CUTTING;2024;29700;27000;27000;17550;27000;33750;41850;31050;27000;32400;28350;41850;364500;kg;364500;7930359,228;1149,124913;1134041,37;237,9107768;31,72143691;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);AC;RawMaterial;Stationary combustion;;Hydrofluorocarbons(HFCs);HFC-410A;2024;0;0;0;0;0;0;0;0;11,6;0;0;0;11,6;kg;11,6;0;26,1638;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);AC;RawMaterial;Stationary combustion;;ETC;HFC-32;2024;0;0;0;0;10;0;0;0;0;0;0;0;10;kg;10;0;7,71;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;DIESEL OIL;2024;1,343;1,309;1,744;0,999;1,594;1,604;1,698;0,368;1,904;2,102;2,244;2,137;19,046;㎥;14113,086;625209,7098;43,48008423;43327,03289;1,875629129;0,375125826;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;GASOLINE;2024;3,11566;2,5305;3,38209;2,58228;4,11348;4,108369;4,20645;0,7724;5,0027;4,66642;4,74671;3,08557;42,312629;㎥;31353,65809;1388967,053;96,59543593;96255,4168;4,16690116;0,833380232;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Mess;Fuel;Stationary combustion;;Liquefied Petroleum Gas (LPG);LPG 12 KG & CAN 230 GR;2024;146,46;146,46;0;144;146,46;146,46;144;146,46;148,27;1,807142857;146,46;146,46;1463,297143;kg;1463,297143;69213,95486;4,371158869;4367,400551;0,069213955;0,006921395;;
